BIN,DEP,DIV,QTY
40034-HOME-A30001-S1,HOME,HH,
40034-HOME-A30002-S1,HOME,HH,
40034-HOME-A30003-S1,HOME,HH,
40034-HOME-A30004-S1,HOME,HH,
40034-HOME-A30005-S1,HOME,HH,
40034-HOME-A30006-S1,HOME,HH,
40034-HOME-A30007-S1,HOME,HH,
40034-HOME-A30008-S1,HOME,HH,
40034-HOME-A30009-S1,HOME,HH,
40034-HOME-A30010-S1,HOME,HH,
40034-HOME-A30011-S1,HOME,HH,
40034-HOME-A30012-S1,HOME,HH,
40034-HOME-A30013-S1,HOME,HH,
40034-HOME-A30014-S1,HOME,HH,
40034-HOME-A30015-S1,HOME,HH,
40034-HOME-A30016-S1,HOME,HH,
40034-HOME-A30017-S1,HOME,HH,
40034-HOME-A30018-S1,HOME,HH,
40034-HOME-A30019-S1,HOME,HH,
40034-HOME-A30020-S1,HOME,HH,
40034-HOME-A30021-S1,HOME,HH,
40034-HOME-A30022-S1,HOME,HH,
40034-HOME-A30023-S1,HOME,HH,
40034-HOME-A30024-S1,HOME,HH,
40034-HOME-A30025-S1,HOME,HH,
40034-HOME-A30026-S1,HOME,HH,
40034-HOME-A30027-S1,HOME,HH,
40034-HOME-A30028-S1,HOME,HH,
40034-HOME-A30029-S1,HOME,HH,
40034-HOME-A30030-S1,HOME,HH,
40034-HOME-A30031-S1,HOME,HH,
40034-HOME-A30032-S1,HOME,HH,
40034-HOME-A30033-S1,HOME,HH,
40034-HOME-A30034-S1,HOME,HH,
40034-HOME-A30035-S1,HOME,HH,
40034-HOME-A30036-S1,HOME,HH,
40034-HOME-A30037-S1,HOME,HH,
40034-HOME-A30038-S1,HOME,HH,
40034-HOME-A30039-S1,HOME,HH,
40034-HOME-A30040-S1,HOME,HH,
40034-HOME-A30041-S1,HOME,HH,
40034-HOME-A30042-S1,HOME,HH,
40034-HOME-A30043-S1,HOME,HH,
40034-HOME-A30044-S1,HOME,HH,
40034-HOME-A30045-S1,HOME,HH,
40034-HOME-A30046-S1,HOME,HH,
40034-HOME-A30047-S1,HOME,HH,
40034-HOME-A30048-S1,HOME,HH,
40034-HOME-A30049-S1,HOME,HH,
40034-HOME-A30050-S1,HOME,HH,
40034-HOME-A30051-S1,HOME,HH,
40034-HOME-A30052-S1,HOME,HH,
40034-HOME-A30053-S1,HOME,HH,
40034-HOME-A30054-S1,HOME,HH,
40034-HOME-A30055-S1,HOME,HH,
40034-HOME-A30056-S1,HOME,HH,
40034-HOME-A30057-S1,HOME,HH,
40034-HOME-A30058-S1,HOME,HH,
40034-HOME-A30059-S1,HOME,HH,
40034-HOME-A30060-S1,HOME,HH,
40034-HOME-A30061-S1,HOME,HH,
40034-HOME-A30062-S1,HOME,HH,
40034-HOME-A30063-S1,HOME,HH,
40034-HOME-A30064-S1,HOME,HH,
40034-HOME-A30065-S1,HOME,HH,
40034-HOME-A30066-S1,HOME,HH,
40034-HOME-A30067-S1,HOME,HH,
40034-HOME-A30068-S1,HOME,HH,
40034-HOME-A30069-S1,HOME,HH,
40034-HOME-A30070-S1,HOME,HH,
40034-HOME-A30071-S1,HOME,HH,
40034-HOME-A30072-S1,HOME,HH,
40034-HOME-A30073-S1,HOME,HH,
40034-HOME-A30074-S1,HOME,HH,
40034-HOME-A30075-S1,HOME,HH,
40034-HOME-A30076-S1,HOME,HH,
40034-HOME-A30077-S1,HOME,HH,
40034-HOME-A30078-S1,HOME,HH,
40034-HOME-A30079-S1,HOME,HH,
40034-HOME-A30080-S1,HOME,HH,
40034-HOME-A30081-S1,HOME,HH,
40034-HOME-A30082-S1,HOME,HH,
40034-HOME-A30083-S1,HOME,HH,
40034-HOME-A30084-S1,HOME,HH,
40034-HOME-A30085-S1,HOME,HH,
40034-HOME-A30086-S1,HOME,HH,
40034-HOME-A30087-S1,HOME,HH,
40034-HOME-A30088-S1,HOME,HH,
40034-HOME-A30089-S1,HOME,HH,
40034-HOME-A30090-S1,HOME,HH,
40034-HOME-A30091-S1,HOME,HH,
40034-HOME-A30092-S1,HOME,HH,
40034-HOME-A30093-S1,HOME,HH,
40034-HOME-A30094-S1,HOME,HH,
40034-HOME-A30095-S1,HOME,HH,
40034-HOME-A30096-S1,HOME,HH,
40034-HOME-A30097-S1,HOME,HH,
40034-HOME-A30098-S1,HOME,HH,
40034-HOME-A30099-S1,HOME,HH,
40034-HOME-A30100-S1,HOME,HH,
40034-HOME-A30101-S1,HOME,HH,
40034-HOME-A30102-S1,HOME,HH,
40034-HOME-A30103-S1,HOME,HH,
40034-HOME-A30104-S1,HOME,HH,
40034-HOME-A30105-S1,HOME,HH,
40034-HOME-A30106-S1,HOME,HH,
40034-HOME-A30107-S1,HOME,HH,
40034-HOME-A30108-S1,HOME,HH,
40034-HOME-A30109-S1,HOME,HH,
40034-HOME-A30110-S1,HOME,HH,
